voter_id,documento_hash,edad,fecha_nacimiento,fecha_defuncion,estado_documento,condicion_legal,habilitado_legalmente,estado_padron,municipio,zona_id,circunscripcion_autorizada,mesa_asignada
V000001,fef4cc6a4a7f13d3be9d,79,1947-06-04,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-026
V000002,292d5a5faf062bfc42ee,18,2008-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-025
V000003,a9ca94dc55e3f52a6546,44,1982-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-065
V000004,1966b16fe6e22d4dcf49,79,1947-06-04,,vigente,normal,1,activo,MUN-01,ZONA-06,CIRC-01,MESA-006
V000005,9692ba963459cceb8aee,20,2006-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000006,a91735850040c68c163b,87,1939-06-04,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-064
V000007,6328cf223d252e67a271,89,1937-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-043
V000008,5d02a3aedf12606e89f2,44,1982-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000009,3276f40296c0db2a5ce7,26,2000-06-03,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-030
V000010,9b63baa34dd19136beb9,79,1947-06-04,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-077
V000011,97c1cf0bf02bb3bbb535,54,1972-06-03,,vigente,normal,1,activo,MUN-03,ZONA-08,CIRC-03,MESA-018
V000012,b2d7648f72aa98d34949,68,1958-06-03,,vigente,normal,1,activo,MUN-04,ZONA-04,CIRC-04,MESA-079
V000013,9274e0a548808850926e,61,1965-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-021
V000014,70e66b37446ed3ac2c1e,41,1985-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-057
V000015,ebf54046ff697df6572d,17,2009-06-03,,vigente,normal,1,activo,MUN-03,ZONA-03,CIRC-03,MESA-023
V000016,600b0c8fc229853a5863,49,1977-06-03,,vigente,normal,1,activo,MUN-05,ZONA-10,CIRC-05,MESA-045
V000017,3bff1b4c38b459a88d34,69,1957-06-03,,vigente,normal,1,activo,MUN-04,ZONA-09,CIRC-04,MESA-044
V000018,65012f6488a9ad99493a,79,1947-06-04,,vigente,normal,1,activo,MUN-02,ZONA-02,CIRC-02,MESA-047
V000019,9c87fcfb4f6a49f73a6b,75,1951-06-04,,vigente,normal,1,activo,MUN-05,ZONA-05,CIRC-05,MESA-040
V000020,7f9c856eb71a39a1ac34,69,1957-06-03,,vigente,normal,1,activo,MUN-01,ZONA-01,CIRC-01,MESA-051
V000021,5a3a9e3c4c0af4f443e4,29,1997-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-042
V000022,13fc9ec96d1a47bcbb7f,56,1970-06-03,,vigente,normal,1,activo,MUN-02,ZONA-07,CIRC-02,MESA-007
